n,Marca temporal,1) ¿Cuál es su nivel más alto de estudios?,2) ¿Cuál es su edad?,3) Indique su sexo,4) Estado civil,5) ¿Actualmente se encuentra trabajando?,"6) ¿Cuántas horas a la semana trabaja? (si no trabaja, escriba un cero)",7) ¿Tienes hijos(as) o personas a su cuidado actualmente?,8) Ingresos económicos de su hogar aproximado (en pesos) en total.,9) Tipo de establecimiento secundario del que egresó,10) Tipo de formación en su educación secundaria,11) Nivel educativo alcanzado por su madre/tutor (seleccione la última cursada y aprobada),12) Nivel educativo alcanzado por su padre/tutor (seleccione la última cursada y aprobada),13) Usted está diagnosticado de acuerdo a las siguientes categorías:,emp_1,emp_2,emp_3,emp_4,emp_5,emp_6,emp_7,emp_8,emp_9,emp_10,control_1,sq_1,sq_2,sq_3,sq_4,sq_5,sq_6,sq_7,sq_8,sq_9,sq_10,control_2,ale_1,ale_2,ale_3,ale_4,ale_5,ale_6,ale_7,ale_8,ale_9,ale_10,ale_11,ale_12,ale_13,ale_14,ale_15,ale_16,ale_17,ale_18,ale_19,ale_20,ie_1,ie_2,ie_3,ie_4,ie_5,ie_6,ie_7,ie_8,ie_9,ie_10,ie_11,ie_12,ie_13,ie_14,ie_15,ie_16,ie_17,ie_18,ie_19,ie_20,ie_21,ie_22,ie_23,ie_24,control_3,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_7,EQ_total,SQ_total,ale1_iden_sent,ale2_des_sent,ale3_pen_ext,int_emo_1_perc_emo,int_emo_2_compr_emo,int_emo_3_reg_emo,toma_pers
285,2021/12/08 1:32:51 a. m. GMT,Educacion Universitaria Incompleta,19,Hombre,Soltero,No,0,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Universitaria completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,0,0,1,0,1,2,0,0,0,1,1,2,0,2,1,2,0,0,0,2,2,1,5,3,4,4,2,1,4,1,2,2,5,1,1,4,3,4,3,3,3,2,2,2,3,3,2,3,3,4,3,4,3,3,5,5,4,4,4,3,5,3,5,5,4,3,2,4,3,2,2,3,NA,5,10,10,20,14,20,31,33,NA
286,2021/12/09 1:54:52 a. m. GMT,Educación Media Incompleta,53,Mujer,Soltero,Sí,7,Sí,0 a 290.000,Municipal,Técnico profesional,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,0,2,0,0,2,0,1,1,0,2,2,0,1,2,0,1,1,2,4,5,4,4,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,3,3,3,3,3,5,5,5,5,5,5,5,4,4,2,4,4,2,2,4,NA,10,10,33,24,16,35,27,39,NA
287,2021/12/09 3:10:32 a. m. GMT,Educación Media Completa,48,Hombre,Divorciado,Sí,50,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,2,0,1,0,2,0,1,2,1,1,1,0,1,0,2,1,0,2,0,0,2,2,2,2,4,3,3,2,1,1,1,2,1,1,2,3,1,2,2,1,1,5,4,2,5,2,2,2,1,5,5,5,5,5,5,4,4,5,4,4,3,5,5,4,4,5,2,4,4,2,3,4,NA,9,7,13,11,8,23,38,34,NA
288,2021/12/09 10:33:05 p. m. GMT,Educación Media Completa,18,Mujer,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,2,2,2,2,2,2,2,4,2,2,0,0,2,2,2,2,0,2,2,1,1,1,2,1,4,3,5,1,3,4,1,1,1,1,3,1,4,4,1,5,5,4,5,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,3,4,2,1,5,1,1,5,5,NA,19,14,12,9,10,35,39,36,NA
290,2021/12/13 2:24:46 a. m. GMT,Educacion Universitaria Incompleta,19,Hombre,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,1,0,2,1,2,0,0,2,0,1,2,0,2,2,0,2,2,0,2,2,2,5,5,5,1,1,5,5,5,5,1,5,5,2,4,4,3,3,3,3,3,5,5,5,4,2,4,4,3,4,4,4,2,4,3,3,5,4,3,4,3,4,3,3,4,4,3,4,3,3,4,4,NA,10,14,31,19,11,32,29,28,NA
291,2021/12/13 2:47:04 a. m. GMT,Educación Técnico Profesional Incompleta,22,Hombre,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,0,0,1,1,0,1,2,0,1,1,0,2,1,0,1,0,0,2,0,0,2,4,3,1,2,4,1,1,3,3,3,1,2,3,2,4,5,2,2,4,5,4,4,2,2,3,2,3,2,3,2,4,4,3,3,3,3,2,3,3,2,2,3,2,4,3,4,2,2,4,2,3,NA,7,6,15,10,14,22,25,21,NA
292,2021/12/13 6:01:02 p. m. GMT,Educacion Universitaria Incompleta,20,Hombre,Soltero,No,0,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,2,2,1,0,2,2,1,1,2,1,0,0,2,0,0,0,2,2,1,1,1,4,2,1,1,5,1,3,4,1,1,1,3,4,1,5,5,3,5,3,2,3,1,1,2,5,5,5,5,4,5,3,5,5,5,5,1,5,5,5,5,4,3,3,5,1,3,3,5,NA,14,8,7,11,13,22,37,35,NA
293,2021/12/13 7:28:20 p. m. GMT,Educación Media Completa,19,Mujer,Soltero,No,0,No,700.000 a 890.000,Particular pagado,Científico humanista,Universitaria completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,2,2,2,2,2,2,1,2,0,0,0,0,2,0,0,2,2,2,4,5,1,3,2,2,2,4,3,1,2,2,2,1,3,3,5,5,5,1,4,4,4,5,1,3,4,4,3,4,4,5,4,4,5,5,5,5,3,5,5,5,4,4,1,1,5,1,2,4,5,NA,17,8,15,17,10,29,34,36,NA
294,2021/05/04 6:27:19 p. m. GMT,NA,20,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Universitaria completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,1,1,1,1,1,2,1,1,1,1,1,0,1,1,2,0,1,2,2,3,3,2,4,3,2,2,3,3,3,3,4,2,2,4,2,4,3,3,3,3,3,2,3,1,2,2,3,2,3,2,3,3,2,2,3,4,3,3,3,3,2,4,4,4,3,3,4,3,4,4,4,9,10,16,18,13,19,20,26,25
295,2021/05/05 3:10:20 a. m. GMT,NA,26,Hombre,Soltero,No,0,Sí,500.000 a 690.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,1,1,2,2,2,2,0,1,1,1,1,1,1,0,0,2,0,1,1,0,2,2,2,1,2,3,2,2,4,2,1,4,4,2,2,4,5,5,5,5,5,3,3,2,4,4,4,3,3,4,4,4,5,4,4,4,3,4,4,2,2,4,3,5,3,4,4,4,4,1,4,3,4,14,7,13,17,12,26,32,27,24
296,2021/05/05 3:13:17 a. m. GMT,NA,21,Mujer,Conviviente,Sí,20,No,0 a 290.000,Municipal,Técnico profesional,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,2,0,1,1,2,1,2,1,2,0,0,0,2,2,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,6,21,15,12,24,24,24,21
297,2021/05/05 2:03:45 p. m. GMT,NA,20,Hombre,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,0,0,1,1,1,1,2,0,1,1,1,0,0,0,0,0,1,1,0,0,2,1,2,1,3,3,2,1,5,2,1,2,2,1,1,2,2,4,3,5,5,4,3,3,4,2,3,2,2,4,4,3,3,4,4,4,3,2,3,2,2,5,2,2,4,4,4,3,2,5,4,1,2,8,3,9,13,11,23,29,22,21
298,2021/05/05 2:04:18 p. m. GMT,NA,24,Mujer,Conviviente,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,1,0,1,2,1,1,1,1,1,1,0,2,1,1,2,2,2,2,0,1,2,4,3,3,3,2,2,3,2,2,1,1,1,1,2,2,1,3,5,5,1,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,2,3,3,3,4,4,5,3,4,4,4,4,3,4,2,5,11,13,17,11,7,32,27,27,26
299,2021/05/05 2:18:50 p. m. GMT,NA,20,Hombre,Soltero,No,0,No,700.000 a 890.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,2,5,4,5,2,2,3,4,3,4,1,3,1,4,1,3,4,4,5,5,1,4,4,5,5,5,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,5,5,5,4,4,3,5,3,3,5,3,4,3,4,26,14,9,35,32,35,26
300,2021/05/05 2:39:43 p. m. GMT,NA,20,Hombre,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,1,2,0,0,2,1,0,1,1,0,0,0,0,0,1,0,2,0,2,5,4,1,3,1,1,1,3,3,2,3,3,4,4,2,2,4,4,5,1,5,4,3,4,3,5,4,4,3,3,4,3,5,3,4,3,2,3,1,2,5,4,5,5,4,5,3,5,4,5,4,2,7,4,19,17,8,32,28,27,28
301,2021/05/05 2:47:25 p. m. GMT,NA,23,Hombre,Soltero,No,0,Sí,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,1,1,1,0,1,1,0,1,1,2,2,0,1,0,1,0,0,2,2,5,5,1,5,2,5,4,4,4,3,5,4,5,5,5,4,5,4,4,1,1,4,1,1,1,5,2,2,1,1,3,1,2,2,2,2,2,5,5,4,4,4,4,3,4,4,3,3,4,4,1,3,9,9,29,24,14,17,14,31,22
302,2021/05/05 2:52:58 p. m. GMT,NA,23,Mujer,Soltero,Sí,56,No,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,1,1,1,0,1,0,1,2,1,1,1,0,2,1,1,0,1,2,3,2,3,2,2,3,3,4,3,2,2,4,3,2,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,3,4,3,4,4,4,4,3,4,4,3,9,10,20,14,11,32,31,27,26
303,2021/05/05 3:01:17 p. m. GMT,NA,24,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,Prefiero no responder.,2,0,0,2,0,2,0,0,0,2,1,2,0,2,2,0,2,2,2,2,2,2,5,5,5,5,3,5,5,1,5,1,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,1,1,1,1,1,5,1,5,5,5,4,1,5,5,1,5,5,5,8,16,35,25,10,40,20,24,27
304,2021/05/05 3:12:49 p. m. GMT,NA,20,Hombre,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,0,1,1,2,0,1,1,1,0,0,0,0,0,0,2,0,1,2,2,4,1,4,2,1,1,3,1,1,4,4,1,2,4,3,4,4,5,1,3,2,3,4,3,2,3,3,2,3,4,4,4,3,3,1,2,4,3,5,3,5,3,5,4,5,5,5,4,4,4,4,9,4,9,20,10,23,24,30,31
305,2021/05/05 5:29:14 p. m. GMT,NA,22,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Universitaria completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,2,2,2,0,1,1,1,0,0,1,0,0,1,0,0,2,2,1,5,2,3,4,4,1,3,1,4,1,1,1,1,1,1,5,5,1,5,5,5,5,4,5,5,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,3,3,4,5,4,4,2,4,4,3,12,4,20,9,6,39,36,36,26
306,2021/05/05 5:41:25 p. m. GMT,NA,21,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,2,0,1,0,0,1,0,1,1,2,0,1,0,1,1,0,0,1,2,5,5,3,3,2,3,3,3,3,1,4,5,3,3,4,2,5,5,5,3,3,3,3,4,4,4,4,5,3,3,4,5,3,2,4,4,3,3,3,3,2,2,5,3,4,1,1,2,1,3,2,1,4,7,23,22,10,30,28,24,11
307,2021/05/05 5:41:58 p. m. GMT,NA,23,Mujer,Soltero,Sí,96,No,500.000 a 690.000,Particular subvencionado,Técnico profesional,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,0,1,1,1,1,2,0,0,0,1,1,0,1,0,1,2,1,1,0,0,2,4,4,1,4,1,2,2,3,2,3,4,3,2,4,3,2,5,4,5,3,3,3,4,3,3,2,2,2,2,3,3,3,3,3,4,3,2,3,3,2,3,2,5,2,4,3,3,3,4,4,2,4,8,7,17,20,10,22,24,22,23
308,2021/05/05 5:56:05 p. m. GMT,NA,20,Mujer,Soltero,No,0,Sí,900.000 a 1.190.000,Particular subvencionado,Técnico profesional,Enseñanza básica completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,1,0,1,2,2,2,0,1,1,0,1,0,1,1,0,0,2,2,2,4,5,4,5,3,5,4,4,5,2,4,5,3,3,2,3,5,5,2,3,5,5,2,4,3,3,3,3,1,1,1,2,3,1,4,2,5,5,5,5,4,5,5,3,4,4,5,5,5,5,3,5,11,8,28,24,11,28,15,37,32
309,2021/05/05 6:32:13 p. m. GMT,NA,29,Mujer,Soltero,Sí,30,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,2,2,2,2,2,2,0,1,1,1,0,0,2,0,0,1,0,1,2,3,2,5,3,1,3,3,5,3,1,1,3,2,2,1,3,2,5,5,2,5,5,5,5,3,5,5,5,4,4,4,4,5,3,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,4,4,15,6,21,11,8,38,34,38,33
310,2021/05/05 6:48:18 p. m. GMT,NA,23,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,1,2,1,2,2,2,0,1,2,0,0,1,0,1,0,0,0,0,2,5,5,1,4,1,4,4,3,3,1,5,2,3,3,2,1,5,5,5,1,5,5,5,5,5,5,5,5,3,3,2,3,4,3,4,4,4,5,5,5,5,5,5,3,4,5,4,4,4,5,5,5,14,4,23,21,7,40,26,37,32
311,2021/05/05 6:58:30 p. m. GMT,NA,20,Hombre,Soltero,No,0,No,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,1,1,1,0,1,0,2,0,1,1,1,0,0,1,1,2,1,1,1,0,2,2,2,1,3,2,1,1,2,1,1,4,3,1,1,3,1,3,5,5,1,4,4,5,5,2,3,4,4,5,4,5,4,4,5,4,4,4,4,5,5,5,5,5,4,4,2,5,5,4,5,4,5,9,8,8,15,8,31,35,37,30
312,2021/05/05 7:22:25 p. m. GMT,NA,20,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Universitaria completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,2,2,1,2,2,2,2,1,1,2,2,1,0,1,0,1,0,0,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,4,2,4,5,5,1,4,1,2,2,1,1,1,1,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,18,8,8,9,8,13,38,40,34
313,2021/05/05 7:55:19 p. m. GMT,NA,35,Mujer,Soltero,Sí,60,Sí,500.000 a 690.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,2,2,1,1,1,1,2,1,2,2,2,1,1,2,0,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,3,5,5,1,5,4,5,5,2,2,4,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,3,3,15,15,7,7,7,31,36,39,27
314,2021/05/05 9:17:25 p. m. GMT,NA,25,Hombre,Soltero,Sí,84,No,700.000 a 890.000,Municipal,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,2,1,0,1,1,2,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,4,5,1,5,5,5,3,2,3,5,5,5,5,5,5,5,5,2,5,2,1,2,2,3,3,5,1,4,4,4,4,3,4,4,3,12,10,7,6,7,33,37,19,26
315,2021/05/05 10:32:35 p. m. GMT,NA,23,Hombre,Soltero,Sí,21,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,0,1,2,1,1,0,2,1,0,1,1,1,2,0,0,0,1,2,0,2,2,3,2,1,2,1,1,3,3,1,2,4,3,2,5,3,1,1,4,5,1,3,3,4,3,4,5,4,3,3,4,3,2,4,4,4,4,5,5,5,5,5,5,5,3,4,4,4,4,4,5,2,3,9,9,16,12,9,29,28,38,26
316,2021/05/06 1:30:32 a. m. GMT,NA,20,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,0,2,2,2,1,2,1,2,0,1,0,2,0,0,0,1,0,0,2,1,2,3,5,1,2,5,4,3,4,3,2,3,3,4,5,3,5,3,5,5,5,5,3,3,3,3,4,4,3,2,2,3,3,3,3,4,3,2,2,3,3,2,4,2,4,4,3,4,5,5,5,4,5,13,6,23,16,14,28,23,22,31
317,2021/05/06 6:33:33 a. m. GMT,NA,20,Hombre,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,1,0,1,2,1,1,0,1,1,1,1,0,1,1,0,2,1,0,2,4,5,3,4,2,4,2,3,2,1,4,3,3,4,3,2,4,3,5,1,5,5,4,5,4,5,5,5,3,3,4,4,4,2,2,2,3,4,3,3,4,4,3,3,4,2,4,5,4,5,3,2,8,8,22,20,9,38,24,27,25
318,2021/05/06 8:23:55 a. m. GMT,NA,20,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Municipal,Científico humanista,Universitaria completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,1,1,2,0,0,2,2,2,0,1,1,0,0,0,0,2,0,0,0,1,2,4,5,1,5,2,5,5,5,5,1,5,5,5,5,1,1,5,5,5,1,5,1,1,1,4,5,5,1,1,1,1,1,3,2,3,2,4,4,4,4,5,3,5,2,4,3,4,5,2,3,2,5,12,4,30,25,9,23,14,31,24
319,2021/05/06 2:25:31 p. m. GMT,NA,22,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,1,2,2,2,2,2,0,1,2,0,2,1,0,2,0,0,0,2,2,5,5,5,5,1,1,1,5,5,1,5,5,5,1,1,5,5,5,5,1,5,4,5,5,1,1,5,5,4,3,5,2,4,4,4,4,5,5,5,1,5,5,5,5,4,5,5,5,2,4,4,5,16,9,23,25,8,31,30,36,30
320,2021/05/06 3:15:01 p. m. GMT,NA,21,Hombre,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,1,2,2,1,2,2,0,1,0,0,0,0,0,2,1,0,0,0,2,4,4,1,2,3,4,2,2,1,1,4,4,3,4,2,4,2,3,5,1,4,4,3,3,3,4,2,4,3,2,4,4,5,3,4,3,4,4,5,4,4,5,5,3,4,4,4,4,3,3,2,4,16,3,19,16,8,27,28,34,24
321,2021/05/06 5:05:28 p. m. GMT,NA,23,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,3,1,1,1,1,1,1,2,3,1,1,1,1,3,5,5,1,5,4,5,5,1,4,5,5,4,4,4,4,4,4,4,4,4,3,3,4,5,5,5,5,4,4,5,5,5,5,4,5,19,15,7,13,4,34,32,34,33
322,2021/05/06 8:34:02 p. m. GMT,NA,20,Hombre,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,2,1,2,1,2,0,1,1,0,2,1,0,2,2,0,0,0,2,5,4,3,3,3,5,4,3,4,1,4,3,5,5,2,3,2,3,3,1,4,4,3,4,4,4,4,3,2,4,4,3,4,3,3,3,2,3,4,4,4,4,5,4,4,2,3,4,3,4,4,1,13,8,31,16,9,30,26,30,21
323,2021/05/06 11:14:04 p. m. GMT,NA,21,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Técnico profesional,Enseñanza básica incompleta,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,0,1,1,1,2,2,2,2,0,1,2,0,2,2,0,2,2,0,2,2,2,5,5,5,5,1,5,5,1,5,1,5,5,2,5,1,1,5,5,2,2,2,2,2,5,5,5,2,2,2,3,1,1,1,1,1,3,4,5,5,5,5,5,2,5,4,5,1,1,1,1,1,1,11,14,32,25,4,25,13,36,11
324,2021/05/07 12:28:53 a. m. GMT,NA,25,Mujer,Casado,Sí,30,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica incompleta,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,2,0,1,2,2,2,0,1,2,0,0,0,0,0,0,1,1,2,2,2,4,1,2,1,2,1,4,2,1,1,1,2,3,2,2,1,5,5,1,5,4,4,5,4,3,3,3,4,4,4,4,5,4,2,5,4,4,1,2,4,4,3,2,4,4,5,4,5,5,4,3,12,6,13,9,8,31,32,24,30
325,2021/05/07 1:11:19 a. m. GMT,NA,22,Mujer,Soltero,Sí,30,No,Sobre los valores anteriores,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,1,1,2,2,1,1,2,1,2,0,0,0,1,0,2,0,2,1,1,2,2,2,1,1,5,1,1,1,1,1,1,2,1,5,4,4,2,5,4,4,5,3,5,5,4,5,4,4,5,4,3,4,4,5,5,4,5,4,3,5,5,4,5,5,5,5,3,4,5,17,8,8,10,10,35,33,36,32
326,2021/05/07 1:19:21 a. m. GMT,NA,23,Hombre,Soltero,No,0,No,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,1,1,1,2,2,0,1,0,2,0,0,0,1,0,0,0,0,2,3,3,1,2,2,2,2,2,2,2,2,4,2,1,3,3,2,2,4,1,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4,4,2,2,2,4,4,3,3,4,4,4,4,4,5,4,4,4,13,3,13,13,9,29,31,24,29
327,2021/05/07 1:25:35 a. m. GMT,NA,20,Mujer,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,1,2,2,1,2,0,1,2,0,2,0,0,2,0,1,1,0,2,4,4,2,4,2,1,2,3,2,2,4,3,2,2,3,1,2,4,5,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,3,5,4,5,4,4,4,4,4,4,5,4,5,14,8,15,17,10,31,31,31,30
328,2021/05/07 2:47:08 a. m. GMT,NA,21,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Técnico profesional,Universitaria completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,2,0,1,2,0,2,1,1,1,1,0,0,0,2,0,0,0,0,2,4,3,1,3,2,3,2,4,2,1,1,1,2,1,1,3,1,4,5,1,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,4,4,2,4,5,4,5,4,4,3,4,5,3,4,3,4,12,4,15,9,8,39,38,32,26
329,2021/05/07 6:30:46 a. m. GMT,NA,22,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Universitaria completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,2,0,2,0,0,2,1,1,1,0,2,0,0,2,2,2,2,1,2,1,2,5,2,3,2,1,3,3,1,2,2,1,3,2,3,2,5,4,1,5,3,3,5,2,2,2,2,5,5,4,3,4,4,5,4,5,5,3,5,5,3,5,4,4,4,4,5,4,5,4,4,10,12,16,10,9,24,34,35,30
330,2021/05/07 10:14:40 p. m. GMT,NA,21,Mujer,Soltero,No,0,No,Sobre los valores anteriores,Particular pagado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,2,2,1,2,0,1,1,1,1,2,0,2,0,2,1,0,2,5,4,5,2,3,5,4,1,2,1,2,1,5,5,2,2,1,5,5,1,5,5,5,5,5,5,5,5,2,3,2,5,5,3,5,2,1,2,2,2,3,3,5,4,4,4,4,5,2,3,5,5,17,10,31,10,7,40,27,22,28
331,2021/05/09 7:49:42 a. m. GMT,NA,25,Hombre,Soltero,No,0,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,1,2,1,2,2,1,1,1,1,0,0,0,1,1,1,1,2,2,3,2,2,2,1,1,3,2,1,1,1,1,2,2,2,3,4,5,1,5,5,4,4,3,3,5,5,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,5,4,4,4,4,4,5,4,5,18,7,11,10,8,34,36,34,30
332,2021/05/10 12:01:36 p. m. GMT,NA,21,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Técnico profesional,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,2,2,1,2,1,2,2,1,0,0,2,1,0,0,2,2,0,1,2,2,2,2,2,1,1,1,1,1,1,2,3,1,1,2,1,2,3,5,1,5,5,3,4,3,3,3,4,5,4,4,4,5,3,4,5,5,5,4,5,5,5,5,3,4,4,5,5,4,5,5,5,17,8,9,11,5,30,34,37,33
