n,Marca temporal,1) ¿Cuál es su nivel más alto de estudios?,2) ¿Cuál es su edad?,3) Indique su sexo,4) Estado civil,5) ¿Actualmente se encuentra trabajando?,"6) ¿Cuántas horas a la semana trabaja? (si no trabaja, escriba un cero)",7) ¿Tienes hijos(as) o personas a su cuidado actualmente?,8) Ingresos económicos de su hogar aproximado (en pesos) en total.,9) Tipo de establecimiento secundario del que egresó,10) Tipo de formación en su educación secundaria,11) Nivel educativo alcanzado por su madre/tutor (seleccione la última cursada y aprobada),12) Nivel educativo alcanzado por su padre/tutor (seleccione la última cursada y aprobada),13) Usted está diagnosticado de acuerdo a las siguientes categorías:,emp_1,emp_2,emp_3,emp_4,emp_5,emp_6,emp_7,emp_8,emp_9,emp_10,control_1,sq_1,sq_2,sq_3,sq_4,sq_5,sq_6,sq_7,sq_8,sq_9,sq_10,control_2,ale_1,ale_2,ale_3,ale_4,ale_5,ale_6,ale_7,ale_8,ale_9,ale_10,ale_11,ale_12,ale_13,ale_14,ale_15,ale_16,ale_17,ale_18,ale_19,ale_20,ie_1,ie_2,ie_3,ie_4,ie_5,ie_6,ie_7,ie_8,ie_9,ie_10,ie_11,ie_12,ie_13,ie_14,ie_15,ie_16,ie_17,ie_18,ie_19,ie_20,ie_21,ie_22,ie_23,ie_24,control_3,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_7
336,2021/05/13 4:10:18 a. m. GMT,NA,26,Hombre,Soltero,Sí,25,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,1,1,2,0,1,0,1,0,2,1,2,0,0,0,2,2,0,1,0,0,2,3,3,5,4,2,2,2,5,1,2,4,5,1,3,5,1,5,3,5,1,2,2,1,2,1,1,1,1,5,4,4,4,4,2,5,5,3,1,1,1,1,4,5,2,4,2,4,4,1,5,1,2
337,2021/05/25 9:16:40 p. m. GMT,NA,22,Mujer,Soltero,No,0,No,Sobre los valores anteriores,Municipal,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,1,2,0,2,2,1,1,0,0,1,2,0,2,0,2,2,2,2,4,4,1,1,5,1,2,5,2,1,2,3,2,1,3,1,1,5,4,1,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,5,3,1,1,4,5,5,5,5,4,5,5,5,2,5,1,1
338,2021/05/25 9:27:54 p. m. GMT,NA,22,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,2,1,2,2,1,1,1,1,0,0,0,1,1,0,0,1,0,2,4,5,5,4,3,3,2,5,4,1,5,5,5,4,2,3,4,5,5,3,4,4,4,5,5,5,5,5,2,2,2,3,4,2,3,3,3,2,2,2,2,3,4,4,4,4,4,5,4,4,4,5
339,2021/05/25 9:43:38 p. m. GMT,NA,22,Hombre,Soltero,No,0,No,Sobre los valores anteriores,Particular pagado,Científico humanista,Técnica educación superior completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,2,0,2,2,2,2,1,1,1,1,1,0,0,0,0,1,1,0,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,1,5,5,2,4,4,5,5,1,1,3,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,1,4,4,4
340,2021/05/25 10:13:22 p. m. GMT,NA,20,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza básica completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,2,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,2,5,5,5,5,2,5,5,1,5,3,3,4,5,5,2,1,5,1,1,3,4,3,4,3,5,4,4,4,1,2,2,4,1,1,1,1,1,4,1,4,2,4,5,1,4,2,4,2,4,4,4,2
341,2021/05/25 10:18:00 p. m. GMT,NA,22,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza básica incompleta,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,2,1,0,1,2,1,1,1,1,0,1,2,0,0,0,2,0,2,5,5,3,4,3,4,4,1,5,1,2,5,5,2,2,2,5,5,3,2,4,2,2,4,2,2,2,2,2,2,2,4,2,1,5,5,1,1,1,4,4,5,5,2,4,4,4,3,4,5,4,5
342,2021/05/25 11:09:13 p. m. GMT,NA,19,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,1,1,2,2,0,2,0,1,1,0,2,0,0,1,1,1,0,0,2,4,4,2,2,3,5,4,4,4,1,3,2,3,3,3,3,2,4,5,1,4,4,4,5,3,4,4,4,3,4,3,5,4,4,4,4,4,4,4,4,4,5,5,4,4,3,2,4,4,4,2,5
343,2021/05/25 11:13:17 p. m. GMT,NA,20,Mujer,Soltero,Sí,10,No,500.000 a 690.000,Municipal,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,1,2,1,2,0,2,0,1,1,1,1,0,1,1,0,1,0,1,2,2,4,2,2,2,3,2,3,2,1,1,4,2,1,1,3,2,5,5,2,4,4,5,5,4,4,4,4,4,4,4,4,4,4,2,5,3,4,4,4,4,5,5,3,4,4,4,4,4,4,4,5
344,2021/05/25 11:19:21 p. m. GMT,NA,23,Mujer,Soltero,Sí,20,No,500.000 a 690.000,Particular subvencionado,Técnico profesional,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,2,1,0,1,1,0,1,1,2,0,1,0,0,2,1,1,2,0,2,3,3,2,3,2,4,4,2,2,1,2,4,2,3,2,1,3,5,4,1,5,5,3,5,4,4,4,4,3,3,3,3,4,3,5,4,2,2,4,2,2,4,5,3,4,2,3,4,1,4,2,4
345,2021/05/25 11:51:04 p. m. GMT,NA,21,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Municipal,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,1,2,1,2,2,1,0,1,1,2,0,1,2,2,0,1,2,1,2,4,4,4,4,1,3,4,4,2,1,4,2,4,2,3,1,4,3,5,1,4,4,4,5,5,4,4,4,2,4,4,4,4,2,4,5,4,2,1,2,4,5,5,4,4,4,5,5,5,5,5,5
346,2021/05/25 11:57:42 p. m. GMT,NA,20,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,2,2,0,2,2,0,1,2,0,1,2,1,2,0,1,2,1,2,5,5,5,4,1,3,2,2,4,1,3,5,4,2,1,1,5,5,5,1,4,4,3,5,3,5,5,5,4,4,4,4,4,3,3,3,3,3,2,3,4,4,5,4,4,2,4,4,5,5,5,5
347,2021/05/26 12:39:55 a. m. GMT,NA,18,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,0,1,1,2,1,0,1,2,0,0,0,0,0,0,1,0,0,2,5,5,3,1,2,5,5,3,4,2,4,4,5,4,4,3,5,4,4,4,4,4,5,5,5,3,3,4,2,2,2,5,3,2,3,2,3,3,2,3,2,4,5,4,4,1,5,5,5,5,4,5
348,2021/05/26 1:53:47 a. m. GMT,NA,19,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,1,1,1,2,1,2,0,1,1,0,1,1,0,1,0,1,0,0,2,4,5,2,4,3,2,2,4,4,1,4,5,3,1,2,3,4,4,5,3,4,2,2,4,2,3,2,2,3,3,4,4,4,2,4,2,5,4,2,4,5,4,5,4,4,3,4,4,2,4,4,4
349,2021/05/26 1:33:51 p. m. GMT,NA,22,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,2,2,2,2,2,1,1,1,1,0,0,0,0,2,0,1,0,0,2,1,2,1,2,1,1,1,4,1,1,1,1,1,1,1,3,4,5,4,1,5,4,1,3,4,1,2,4,4,5,5,5,5,5,5,4,5,4,1,5,5,5,5,2,4,4,2,3,3,4,1,4
350,2021/05/26 3:27:08 p. m. GMT,NA,21,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,1,2,2,1,1,1,1,1,0,1,0,0,1,0,1,0,1,2,2,2,3,3,2,2,2,2,2,1,2,2,1,1,3,2,2,4,5,2,4,4,4,4,3,2,3,4,3,4,4,4,4,3,4,4,4,4,2,3,4,4,5,2,4,3,4,4,5,4,3,4
351,2021/05/26 3:30:05 p. m. GMT,NA,23,Mujer,Conviviente,Sí,30,No,0 a 290.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,1,1,2,1,2,1,1,1,2,1,2,0,2,0,2,2,0,0,0,0,2,2,3,1,2,3,1,1,3,1,1,2,1,1,1,3,4,2,5,5,3,4,3,3,3,3,2,4,4,4,4,4,4,4,3,5,4,5,5,5,5,4,4,5,4,4,4,5,5,4,5,4,5
352,2021/05/26 3:32:32 p. m. GMT,NA,22,Mujer,Soltero,Sí,45,No,700.000 a 890.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,2,2,1,2,2,1,2,1,1,2,1,2,0,2,1,2,1,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,5,5,3,4,3,4,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,2,3,5,5,5,2,4,5,3,5,2,5,4,4
353,2021/05/26 3:38:23 p. m. GMT,NA,26,Mujer,Soltero,Sí,25,No,Sobre los valores anteriores,Municipal,Técnico profesional,Técnica educación superior completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,1,1,1,1,1,2,0,1,0,0,1,0,1,1,2,2,4,3,2,3,3,2,2,3,1,2,3,4,2,1,3,1,3,3,5,1,4,4,5,5,4,4,5,5,4,4,5,4,4,4,4,4,5,4,2,3,3,4,5,2,4,3,4,4,3,4,3,4
354,2021/05/26 3:47:38 p. m. GMT,NA,23,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Técnico profesional,Enseñanza básica completa,Enseñanza media,Prefiero no responder.,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,0,2,2,4,4,2,4,1,3,1,3,3,2,4,5,3,3,1,1,5,4,4,1,4,2,1,3,3,3,3,2,2,2,3,5,3,1,4,3,3,4,2,4,4,4,5,5,4,5,5,5,4,5,3,5
355,2021/05/26 3:56:19 p. m. GMT,NA,25,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Técnico profesional,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,2,1,1,1,2,1,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,2,4,4,4,3,2,2,2,2,4,1,2,2,3,2,2,4,2,4,5,2,4,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,2,2,2,2,2,4,5,4,4,4,4,4,4,4,4,2
356,2021/05/26 3:59:01 p. m. GMT,NA,18,Mujer,Soltero,No,0,Sí,0 a 290.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,1,2,2,2,2,2,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,2,2,1,5,2,1,1,1,1,1,5,1,1,1,3,1,1,1,5,1,4,4,3,4,4,2,2,2,5,5,5,4,4,4,5,5,5,5,5,5,5,5,2,5,4,5,2,5,5,5,2,2
357,2021/05/26 4:03:59 p. m. GMT,NA,23,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Técnico profesional,Enseñanza básica incompleta,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,0,2,2,1,1,2,1,1,5,2,1,1,5,1,1,1,1,4,3,1,1,1,4,5,5,1,5,5,5,5,3,5,5,5,5,5,4,5,5,4,4,5,3,3,3,3,5,5,5,5,4,5,5,5,3,5,5,5
358,2021/05/26 4:45:35 p. m. GMT,NA,22,Hombre,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Técnico profesional,Técnica educación superior completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,0,1,1,1,1,1,1,0,1,1,1,2,1,0,0,1,0,0,0,0,2,4,3,1,3,2,2,2,4,3,2,3,2,3,4,3,2,2,3,5,3,4,4,4,3,4,3,3,4,3,4,3,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,5,4,3
359,2021/05/26 5:10:55 p. m. GMT,NA,23,Mujer,Soltero,Sí,35,No,500.000 a 690.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,2,1,2,1,2,0,1,1,0,1,0,1,1,2,1,0,1,2,3,4,3,3,2,2,2,2,2,2,4,5,1,2,3,3,5,4,4,2,4,4,4,4,4,3,3,4,4,3,4,5,4,3,3,4,3,2,2,3,5,4,4,3,4,4,4,4,4,4,4,5
360,2021/05/26 6:20:18 p. m. GMT,NA,23,Mujer,Soltero,No,0,Sí,500.000 a 690.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,2,2,2,2,2,2,1,2,0,0,0,2,2,2,0,0,2,2,4,1,1,3,1,1,1,4,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5
361,2021/05/26 6:29:02 p. m. GMT,NA,24,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica incompleta,Técnica educación superior completa,Prefiero no responder.,2,2,2,1,2,2,2,1,2,1,1,2,1,2,2,0,2,2,2,2,2,2,2,2,2,3,1,2,2,4,1,3,1,2,3,1,3,1,2,5,5,5,3,4,3,5,3,4,3,5,3,3,5,5,5,5,5,4,5,3,3,3,5,4,5,3,4,4,3,5,3,5,4,5
362,2021/05/26 6:36:09 p. m. GMT,NA,22,Mujer,Soltero,No,0,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,2,2,1,2,0,1,2,0,0,0,0,1,0,0,2,1,2,4,2,1,1,4,1,2,3,2,1,1,1,1,1,1,2,2,4,4,3,5,5,5,5,3,4,4,5,4,4,5,5,5,4,5,5,4,4,4,3,4,5,5,5,4,4,3,5,5,4,4,5
363,2021/05/26 7:11:51 p. m. GMT,NA,23,Mujer,Conviviente,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,1,2,2,2,2,2,2,2,0,1,2,0,0,0,2,2,0,2,1,2,2,2,2,1,3,2,1,1,4,1,1,2,1,4,1,1,1,1,5,5,1,5,3,4,5,4,4,4,5,5,4,5,3,5,1,5,5,5,5,4,5,5,5,5,5,4,4,5,4,5,5,4,5
364,2021/05/26 7:43:45 p. m. GMT,NA,25,Mujer,Soltero,Sí,30,No,0 a 290.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,1,2,2,2,0,2,1,1,1,0,1,0,1,1,2,1,1,0,2,3,4,4,2,1,2,2,2,2,1,2,1,2,2,1,1,2,5,5,2,5,5,5,5,2,5,5,5,4,4,2,5,4,4,4,4,4,4,4,4,5,5,5,5,4,4,5,5,4,5,5,5
365,2021/05/26 8:13:39 p. m. GMT,NA,28,Mujer,Soltero,No,0,Sí,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,0,2,0,0,1,2,1,2,0,1,0,0,1,1,1,2,2,2,4,4,5,2,1,3,5,2,3,1,3,2,3,4,2,2,3,4,5,3,5,5,5,5,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,2,4,4,4
366,2021/05/26 10:31:53 p. m. GMT,NA,22,Mujer,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,0,1,1,2,0,1,1,2,0,1,0,0,0,0,1,1,0,1,1,1,2,4,5,2,4,3,4,1,4,4,2,5,5,5,4,3,2,5,4,4,2,4,4,2,4,4,4,3,2,3,2,2,4,4,3,4,3,1,2,1,3,4,3,2,3,4,4,4,4,4,4,4,5
367,2021/05/27 1:41:02 a. m. GMT,NA,28,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Técnica educación superior completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,2,2,3,1,4,3,1,2,4,2,1,2,3,2,3,2,2,5,5,5,1,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4
368,2021/05/27 3:18:58 a. m. GMT,NA,30,Mujer,Conviviente,Sí,21,Sí,700.000 a 890.000,Municipal,Científico humanista,Enseñanza básica incompleta,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,1,1,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,4,5,4,5,1,4,5,1,2,1,5,5,2,2,2,1,5,5,3,1,5,5,5,3,4,4,4,5,4,4,3,5,4,2,2,4,3,3,3,3,4,4,5,2,4,4,4,4,5,4,4,5
369,2021/05/27 2:19:11 p. m. GMT,NA,23,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,1,1,2,0,1,1,1,0,1,1,1,0,1,1,0,2,4,4,1,3,3,4,4,4,3,2,2,3,2,2,2,3,1,4,5,3,4,4,4,4,5,4,4,4,3,3,3,4,4,3,4,3,2,2,2,2,4,4,5,3,4,3,4,4,3,4,2,5
370,2021/05/27 2:45:30 p. m. GMT,NA,18,Hombre,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,0,2,0,0,1,1,0,0,0,1,1,1,1,2,1,2,1,2,2,1,2,4,4,2,4,3,2,4,3,5,1,2,1,4,1,3,4,4,4,5,1,3,2,3,4,4,4,4,3,2,2,3,3,4,2,4,4,5,5,2,4,4,3,3,4,4,3,4,5,3,1,4,4
371,2021/05/27 6:42:19 p. m. GMT,NA,23,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Técnico profesional,Universitaria completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,2,1,1,2,1,1,0,1,1,2,1,1,1,2,2,2,1,0,2,3,4,3,2,2,4,3,2,3,2,2,2,2,2,3,3,2,5,5,2,4,4,2,5,4,3,3,3,3,4,3,4,4,3,3,4,4,4,4,5,3,3,5,4,4,3,4,4,4,4,3,3
372,2021/05/27 10:45:10 p. m. GMT,NA,22,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,0,2,1,1,1,2,2,2,1,1,2,0,2,1,0,1,2,2,2,2,2,1,4,1,2,2,2,1,4,1,1,1,1,1,1,4,3,4,5,5,1,5,4,4,5,2,5,5,5,4,5,4,4,4,5,5,5,5,4,2,4,4,4,5,3,4,5,5,5,4,5,3,5
373,2021/05/27 11:28:04 p. m. GMT,NA,22,Hombre,Soltero,No,0,No,700.000 a 890.000,Municipal,Técnico profesional,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,1,0,0,0,0,1,0,1,2,1,1,1,0,0,0,1,0,2,2,4,5,2,3,1,2,2,4,1,1,4,4,1,2,3,2,4,5,3,2,4,4,5,5,3,4,4,4,2,2,3,4,4,2,4,5,4,4,2,3,4,4,5,3,4,2,3,4,3,4,4,4
374,2021/05/28 1:36:32 a. m. GMT,NA,24,Mujer,Soltero,Sí,20,No,0 a 290.000,Municipal,Técnico profesional,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,1,2,1,2,2,1,1,2,0,0,2,2,1,1,2,0,2,5,5,1,5,3,3,3,5,4,3,4,4,4,4,2,3,5,2,4,3,3,3,3,3,4,2,2,2,1,1,1,2,2,1,1,1,5,5,5,5,5,5,5,5,4,4,3,4,5,4,4,5
375,2021/05/28 1:45:07 a. m. GMT,NA,28,Mujer,Soltero,Sí,80,Sí,500.000 a 690.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,2,2,1,2,2,2,2,1,1,1,1,0,1,1,0,2,0,1,2,2,1,3,2,3,2,3,2,2,1,1,1,1,1,1,1,1,5,3,1,5,5,5,3,4,3,5,5,3,4,5,4,5,3,4,5,2,3,3,3,2,2,5,2,4,3,3,3,3,3,4,3
376,2021/05/28 3:56:02 a. m. GMT,NA,24,Mujer,Soltero,Sí,30,No,Sobre los valores anteriores,Particular subvencionado,Técnico profesional,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,1,0,1,2,0,2,1,1,2,1,2,2,1,2,1,1,2,2,2,4,4,1,2,1,5,4,2,2,1,1,4,2,2,2,2,1,5,5,1,4,5,4,5,4,4,4,4,3,4,4,5,4,2,4,4,3,2,1,1,3,3,5,2,4,2,4,4,2,2,1,5
377,2021/05/28 5:27:25 a. m. GMT,NA,25,Mujer,Soltero,Sí,45,No,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,1,1,2,0,1,0,1,1,0,1,0,0,2,0,1,0,2,1,2,0,2,3,4,2,3,3,2,3,2,2,1,4,1,2,3,2,2,5,3,5,3,4,3,4,4,4,4,3,3,3,3,2,4,3,2,3,4,4,3,2,3,2,4,5,3,4,4,3,4,4,4,2,3
378,2021/05/28 1:54:06 p. m. GMT,NA,28,Hombre,Soltero,Sí,20,No,900.000 a 1.190.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,2,2,3,2,4,2,3,4,2,2,2,2,2,3,2,2,2,4,4,4,2,4,3,3,4,4,3,3,3,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4
379,2021/05/30 11:46:22 p. m. GMT,NA,22,Mujer,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Universitaria completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,1,1,1,1,1,1,0,1,1,2,0,0,0,1,0,0,1,1,2,2,2,1,3,2,2,2,4,1,2,3,2,2,2,3,2,3,4,4,2,4,4,4,4,3,3,3,4,3,3,3,3,4,3,3,2,2,2,2,2,5,3,2,2,4,2,3,4,4,4,4,4
380,2021/05/31 7:01:13 p. m. GMT,NA,18,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Técnico profesional,Enseñanza básica incompleta,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,2,1,0,1,1,1,0,1,1,1,0,1,1,2,1,2,1,1,2,5,4,4,4,2,1,4,2,5,1,3,2,5,5,3,1,5,5,5,1,3,5,2,3,5,4,2,4,2,3,2,1,4,2,4,2,1,1,1,1,4,2,5,4,4,2,4,4,1,5,3,2
381,2021/05/31 8:25:27 p. m. GMT,NA,21,Mujer,Soltero,No,0,Sí,300.000 a 490.000,Municipal,Técnico profesional,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,1,1,2,2,2,2,1,1,2,1,1,1,0,2,1,1,1,1,2,2,1,3,2,3,1,4,2,1,1,1,1,2,1,1,1,3,5,5,1,5,5,5,5,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,4,4
382,2021/06/01 12:01:42 a. m. GMT,NA,25,Mujer,Soltero,No,0,Sí,700.000 a 890.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,2,0,1,2,1,2,0,1,1,1,1,0,0,2,0,0,0,1,2,2,2,1,2,3,1,2,3,2,1,2,1,1,1,2,3,2,5,5,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,5,5,3,4,4,4
383,2021/06/01 11:35:15 p. m. GMT,NA,31,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,2,2,1,2,1,1,1,0,0,0,0,2,0,0,2,2,2,1,1,1,2,1,1,1,4,1,1,1,1,1,1,2,3,1,5,5,1,5,5,5,5,3,3,4,5,4,5,5,5,5,5,5,5,5,5,3,5,5,4,5,3,4,5,5,5,4,5,5,5
384,2021/06/02 4:27:50 p. m. GMT,NA,25,Hombre,Soltero,Sí,44,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,2,2,0,2,2,0,1,2,1,2,0,2,0,2,2,2,0,2,1,3,1,3,1,1,1,5,1,1,1,5,1,1,1,1,5,5,5,1,5,3,5,5,1,2,5,5,5,4,4,5,5,1,4,5,1,1,1,1,5,4,5,3,4,5,5,5,3,5,4,5
385,2021/06/03 5:49:00 p. m. GMT,NA,24,Mujer,Soltero,No,0,No,500.000 a 690.000,Municipal,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,2,1,1,1,1,2,0,3,0,0,0,0,0,1,2,1,1,0,2,4,5,3,4,2,5,5,5,5,1,5,1,4,3,2,2,5,5,5,4,5,5,4,5,5,2,5,5,4,4,4,5,4,2,2,5,4,2,2,2,1,1,4,1,4,3,4,5,2,5,3,5
386,2021/06/05 3:07:31 a. m. GMT,NA,23,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,1,1,2,1,1,2,2,1,2,1,0,1,0,1,2,2,2,2,2,2,2,2,3,1,2,1,1,1,2,1,1,2,2,1,1,1,1,3,5,5,1,5,5,5,5,1,3,5,5,5,5,5,5,5,4,4,5,4,4,4,4,5,5,5,5,4,3,5,4,5,5,4,4
